fpr,tpr,threshold
0.0,0.0,inf
0.00017497812773403323,0.0,0.8666617185396001
0.00034995625546806647,0.0,0.8462143402495061
0.00034995625546806647,0.0009389671361502347,0.8399650844520108
0.0005249343832020997,0.0009389671361502347,0.8376152481576677
0.0006999125109361329,0.0009389671361502347,0.831168144233344
0.0008748906386701663,0.0009389671361502347,0.823876137762486
0.0008748906386701663,0.0018779342723004694,0.8214529368402268
0.0008748906386701663,0.0028169014084507044,0.8153613536527865
0.0010498687664041995,0.0028169014084507044,0.8144583782150645
0.0012248468941382328,0.0028169014084507044,0.8113649314238492
0.0013998250218722659,0.0028169014084507044,0.8077990367950855
0.0013998250218722659,0.003755868544600939,0.806620481000775
0.0013998250218722659,0.004694835680751174,0.7902609513533438
0.0015748031496062992,0.004694835680751174,0.7889260975661118
0.0015748031496062992,0.005633802816901409,0.7865068973871049
0.0015748031496062992,0.006572769953051643,0.7781568579580799
0.0015748031496062992,0.007511737089201878,0.7746367424655259
0.0015748031496062992,0.008450704225352112,0.7715447500288792
0.0015748031496062992,0.009389671361502348,0.7691930976861492
0.0017497812773403325,0.009389671361502348,0.7611126409560492
0.0017497812773403325,0.010328638497652582,0.7604954769238129
0.0019247594050743656,0.010328638497652582,0.7549602809549113
0.0019247594050743656,0.011267605633802818,0.7535632139620719
0.002099737532808399,0.011267605633802818,0.7507889755208983
0.002274715660542432,0.011267605633802818,0.7479093789035612
0.002274715660542432,0.012206572769953052,0.7467391590533999
0.0024496937882764656,0.012206572769953052,0.7464716469861836
0.0026246719160104987,0.012206572769953052,0.7456275777627027
0.0027996500437445318,0.012206572769953052,0.7447087818612491
0.0029746281714785653,0.012206572769953052,0.7399286121855887
0.0031496062992125984,0.012206572769953052,0.7395429416333046
0.0033245844269466315,0.012206572769953052,0.7391772533002726
0.003499562554680665,0.012206572769953052,0.7383503747607607
0.003674540682414698,0.012206572769953052,0.7361408585790944
0.003674540682414698,0.013145539906103286,0.7355467861263987
0.003849518810148731,0.013145539906103286,0.7324499033203775
0.003849518810148731,0.014084507042253521,0.7308978432561354
0.004024496937882764,0.014084507042253521,0.7286881623063017
0.004199475065616798,0.014084507042253521,0.7254472613077326
0.004374453193350831,0.014084507042253521,0.7248300895333535
0.004549431321084864,0.014084507042253521,0.7247724941778116
0.004724409448818898,0.014084507042253521,0.7240197521945823
0.004899387576552931,0.014084507042253521,0.722429917310236
0.004899387576552931,0.015023474178403756,0.7209388729929758
0.005074365704286964,0.015023474178403756,0.7198679470934671
0.005249343832020997,0.015023474178403756,0.7198622227050112
0.005424321959755031,0.015023474178403756,0.717200288076189
0.0055993000874890635,0.015023474178403756,0.7162174330488513
0.005774278215223097,0.015023474178403756,0.7159049289508637
0.0059492563429571306,0.015023474178403756,0.7143551255917139
0.0059492563429571306,0.01596244131455399,0.7141677468172256
0.006124234470691163,0.01596244131455399,0.7129433395221858
0.006299212598425197,0.01596244131455399,0.7121756086397373
0.006299212598425197,0.016901408450704224,0.7085402529030742
0.006299212598425197,0.01784037558685446,0.7085239163223254
0.00647419072615923,0.01784037558685446,0.7078573771220585
0.00647419072615923,0.018779342723004695,0.707530529632921
0.006649168853893263,0.018779342723004695,0.7064986110239664
0.006649168853893263,0.01971830985915493,0.7063476026008799
0.006649168853893263,0.020657276995305163,0.7062694789439696
0.0068241469816272965,0.020657276995305163,0.7045249916957375
0.00699912510936133,0.020657276995305163,0.7025943885725985
0.00699912510936133,0.0215962441314554,0.7024860782434956
0.007174103237095363,0.0215962441314554,0.7015668401103056
0.007349081364829396,0.0215962441314554,0.6989053114987847
0.00752405949256343,0.0215962441314554,0.6985189350691072
0.007699037620297462,0.0215962441314554,0.6984722295877641
0.007874015748031496,0.0215962441314554,0.6974139773808841
0.007874015748031496,0.022535211267605635,0.6974107751545664
0.008048993875765529,0.022535211267605635,0.6971220658368789
0.008223972003499563,0.022535211267605635,0.6945509914432897
0.008398950131233596,0.022535211267605635,0.6921628224080866
0.008573928258967628,0.022535211267605635,0.6908573008564319
0.008573928258967628,0.023474178403755867,0.6900078298734001
0.008748906386701663,0.023474178403755867,0.6883390779900191
0.008748906386701663,0.024413145539906103,0.6876478451468231
0.008923884514435695,0.024413145539906103,0.6873474113599254
0.008923884514435695,0.02535211267605634,0.6869399158711507
0.009098862642169728,0.02535211267605634,0.6866281167110394
0.009098862642169728,0.02629107981220657,0.6859849717887362
0.009098862642169728,0.027230046948356807,0.6845632934621975
0.009273840769903762,0.027230046948356807,0.6825812243320512
0.009448818897637795,0.027230046948356807,0.6823568626901705
0.009448818897637795,0.028169014084507043,0.6799428377018147
0.009448818897637795,0.02910798122065728,0.6796309118524069
0.009448818897637795,0.03004694835680751,0.6794875281787172
0.009623797025371828,0.03004694835680751,0.6783753594968087
0.009798775153105862,0.03004694835680751,0.6780041240238813
0.009798775153105862,0.030985915492957747,0.677608690737494
0.009973753280839895,0.030985915492957747,0.6775079106429779
0.009973753280839895,0.03192488262910798,0.6772793006671379
0.009973753280839895,0.03286384976525822,0.676753618001863
0.010148731408573928,0.03286384976525822,0.676572237079
0.010323709536307962,0.03286384976525822,0.6760559584208544
0.010498687664041995,0.03286384976525822,0.6756004925761891
0.010673665791776027,0.03286384976525822,0.6739254659962184
0.010848643919510062,0.03286384976525822,0.6733631814099496
0.011023622047244094,0.03286384976525822,0.6729463030667617
0.011198600174978127,0.03286384976525822,0.6701229243260246
0.011373578302712161,0.03286384976525822,0.6695929953929458
0.011548556430446194,0.03286384976525822,0.665653895454283
