precision,recall,threshold
0.15796164847971184,1.0,0.15207577
0.15853269537480064,1.0,0.29587868
0.1618830180474016,0.9986586183769283,0.33516005
0.16197106494071575,0.9986586183769283,0.491495
0.16421704055696762,0.9966465459423206,0.53077626
0.16430782839451571,0.9966465459423206,0.7077638
0.18041302419865704,0.9550637156270959,0.74704516
0.18112244897959184,0.9523809523809523,0.823816
0.19651180273643062,0.8765928906773978,0.86309737
0.19650190114068442,0.8665325285043595,0.8716601
0.25898305084745765,0.5124077800134138,0.9109415
0.2618353969410051,0.48222669349429914,0.91610104
0.37549407114624506,0.06371562709590879,0.9553824
