fpr,tpr,threshold
0.0,0.0,inf
0.030322093608454958,0.0818242790073776,0.9645459480906706
0.050327126321087066,0.1267605633802817,0.964494685569667
0.0762455963764469,0.18309859154929578,0.9644859393317724
0.0939859084046301,0.21260898725687458,0.9644346768107689
0.09448917966784097,0.21260898725687458,0.9643157840652079
0.09511826874685456,0.21327967806841047,0.9642557753063097
0.09511826874685456,0.21395036887994634,0.9613847385632712
0.11147458480120785,0.2414486921529175,0.9607356148044802
0.12116255661801711,0.25553319919517103,0.9606843522834768
0.13525415198792148,0.28101945003353457,0.9606756060455822
0.1451937594363362,0.289738430583501,0.9606243435245786
0.14997483643683945,0.29845741113346747,0.9605054507790174
0.15702063412179165,0.3071763916834339,0.9604454420201195
0.1572722697533971,0.3085177733065057,0.9600672433468836
0.1573980875691998,0.3085177733065057,0.9575231427560776
0.15752390538500252,0.3085177733065057,0.9573442412516183
0.15865626572722696,0.31052984574111336,0.9565425216901832
0.20634121791645696,0.3950368879946345,0.955654529377849
0.2065928535480624,0.39570757880617036,0.9552064602616912
0.2078510317060896,0.3963782696177062,0.9550156700915294
0.20810266733769503,0.3963782696177062,0.9547682528295575
0.6638147961751384,0.8303152246814218,0.9518441960916587
0.7070961248112733,0.8651911468812877,0.9513961269755011
0.7109964771011575,0.8651911468812877,0.9509579195433672
0.7136386512330146,0.8678739101274312,0.9508642518816143
0.7191746351283341,0.8698859825620389,0.9493974090418585
0.7193004529441369,0.8698859825620389,0.9482314599704477
0.7199295420231505,0.8712273641851107,0.9352308296222125
0.7226975339708103,0.8765928906773978,0.9351795671012091
0.7226975339708103,0.8772635814889336,0.9351708208633145
0.7248364368394564,0.8819584171696848,0.9351195583423109
0.7249622546552592,0.8819584171696848,0.9350006655967499
0.7252138902868647,0.8819584171696848,0.9349406568378518
0.72546552591847,0.8819584171696848,0.9331661068005356
0.7255913437342728,0.8819584171696848,0.9330472140549746
0.7257171615500755,0.8826291079812206,0.9310884852243139
0.728610971313538,0.8859825620389,0.9310372227033102
0.7287367891293407,0.8859825620389,0.9310284764654156
0.7306240563663815,0.8906773977196513,0.9309772139444122
0.7336436839456467,0.892018779342723,0.9308583211988513
0.7380473074987418,0.89738430583501,0.9307983124399531
0.73842476094615,0.89738430583501,0.9304201137667174
0.7386763965777554,0.8993963782696177,0.9303601050078194
0.739305485656769,0.8993963782696177,0.9290837711615352
0.7399345747357826,0.8993963782696177,0.929023762402637
0.7403120281831908,0.8993963782696177,0.928904869657076
0.7408152994464016,0.9000670690811536,0.9288448608981779
0.741066935078007,0.9000670690811536,0.928466662224942
0.7411927528938098,0.9000670690811536,0.9284066534660441
0.7468545546049321,0.9087860496311201,0.9264901217039283
0.7471061902365375,0.9087860496311201,0.9262433706202426
0.7473578258681429,0.9087860496311201,0.9260420525877707
0.7474836436839456,0.9087860496311201,0.925603845155637
0.7479869149471565,0.9087860496311201,0.9247165190215889
0.7486160040261701,0.9094567404426559,0.9245366701621529
0.7488676396577756,0.9094567404426559,0.9242899190784674
0.7489934574735783,0.9094567404426559,0.9240886010459954
0.8052340211373931,0.9450033534540577,0.9223477773060296
0.8571967790639154,0.9631120053655265,0.9218997081898722
0.8642425767488676,0.9664654594232059,0.9214615007577382
0.8686462003019627,0.9691482226693494,0.920715811606211
0.8813537996980373,0.9731723675385647,0.9203943257642543
0.8925515853044791,0.9765258215962441,0.9199462566480968
0.8935581278309008,0.9765258215962441,0.919508049215963
0.9009813789632612,0.97719651240778,0.9192489687664553
0.9013588324106694,0.9778672032193159,0.9187623600644357
0.9022395571212883,0.9778672032193159,0.9172955172246801
0.9023653749370911,0.9778672032193159,0.8479448621837643
0.9023653749370911,0.9785378940308518,0.8478196320542033
0.9023653749370911,0.9792085848423877,0.8478071509269477
0.9026170105686965,0.9798792756539235,0.8476282494224886
0.9027428283844993,0.9805499664654594,0.8473241177884687
0.9028686462003019,0.9812206572769953,0.8459142937949012
0.9034977352793155,0.9812206572769953,0.8455976810336255
0.9038751887267237,0.9818913480885312,0.8452935493996055
0.9041268243583291,0.9818913480885312,0.8428132233755902
0.9042526421741318,0.9818913480885312,0.842710770005281
0.9046300956215401,0.9818913480885312,0.8425090917415701
0.9065173628585808,0.9825620389000671,0.8423651542594327
0.9084046300956216,0.9825620389000671,0.8420610226254127
0.9085304479114242,0.9825620389000671,0.8416242112518114
0.908656265727227,0.9825620389000671,0.8415374751801368
0.9087820835430297,0.9825620389000671,0.8413075984905357
0.9089079013588324,0.9832327297116029,0.841220862418861
0.9090337191746352,0.9832327297116029,0.8411761421356541
0.9096628082536488,0.9832327297116029,0.8410034668565156
0.9111726220432813,0.9839034205231388,0.8408595293743782
0.9114242576748868,0.9845741113346748,0.8406511986318455
0.9135631605435329,0.9845741113346748,0.8405553977403583
0.9155762455963764,0.9852448021462106,0.8403345858705696
0.9157020634121792,0.9852448021462106,0.8400318502950823
0.9168344237544036,0.9852448021462106,0.8400304542365497
0.9173376950176145,0.9852448021462106,0.8397152375338065
0.9174635128334172,0.9859154929577465,0.8394111058997865
0.9189733266230499,0.9865861837692823,0.8388289609855152
0.9199798691494716,0.9865861837692823,0.8385248293514952
0.920231504781077,0.9865861837692823,0.8377168424539236
0.920231504781077,0.9872568745808182,0.8374127108199036
0.9207347760442879,0.9872568745808182,0.8372687733377661
0.9217413185707096,0.9872568745808182,0.8369646417037463
0.9219929542023151,0.9872568745808182,0.8359070859348492
0.9224962254655259,0.9872568745808182,0.8357631484527118
0.9226220432813287,0.9872568745808182,0.8354590168186918
