fpr,tpr,threshold
0.0,0.0,inf
0.00377453447408153,0.02079141515761234,0.977039
0.033844992450931054,0.0892018779342723,0.9601183
0.13336688475088074,0.31254191817572097,0.95985025
0.6919979869149472,0.8511066398390342,0.94292957
0.6986663311524912,0.857813547954393,0.939504
0.7001761449421238,0.8598256203890007,0.93947667
0.7003019627579266,0.8598256203890007,0.9394634
0.7074735782586814,0.8685446009389671,0.92463446
0.7906391545042778,0.9255533199195171,0.9223153
0.8027176648213387,0.9342723004694836,0.92228794
0.8029693004529441,0.9356136820925554,0.92227465
0.8607196779063916,0.9731723675385647,0.9074457
0.8612229491696024,0.9731723675385647,0.87355804
0.895319577252139,0.9845741113346748,0.8629667
0.9029944640161047,0.9892689470154259,0.8563693
0.9114242576748868,0.9906103286384976,0.83683556
0.926899849018621,0.9926224010731053,0.79235655
0.9276547559134374,0.9926224010731053,0.65596074
0.9352038248616004,0.993963782696177,0.638772
0.9353296426774032,0.993963782696177,0.6048843
0.9359587317564168,0.993963782696177,0.59575516
0.9402365374937091,0.9953051643192489,0.5876956
0.9443885254151988,0.9953051643192489,0.57856643
0.9479114242576749,0.9953051643192489,0.5532701
0.9495470558631102,0.9953051643192489,0.5101862
0.949672873678913,0.9953051643192489,0.49415582
0.9513085052843483,0.9953051643192489,0.4939215
0.9521892299949672,0.9953051643192489,0.4890666
0.9557121288374434,0.9959758551307847,0.4769671
0.9572219426270759,0.9959758551307847,0.4729436
0.963009562154001,0.9973172367538564,0.4718779
0.9631353799698037,0.9973172367538564,0.46538502
0.968797181680926,0.9986586183769283,0.4557549
0.978610971313538,1.0,0.4481963
0.9801207851031706,1.0,0.42473382
0.9823855057876195,1.0,0.40635696
0.9840211373930549,1.0,0.37758616
0.9851534977352793,1.0,0.22666994
0.9852793155510821,1.0,0.22548181
0.9857825868142929,1.0,0.20829308
0.986160040261701,1.0,0.20426962
0.987544036235531,1.0,0.20320389
0.9923251132360342,1.0,0.18708089
0.9924509310518369,1.0,0.18365315
0.9935832913940614,1.0,0.17952228
0.9954705586311021,1.0,0.16646442
0.9955963764469049,1.0,0.16527629
0.9971061902365375,1.0,0.14808756
0.9973578258681429,1.0,0.13650553
0.9992450931051837,1.0,0.11931672
0.9997483643683945,1.0,0.10283238
1.0,1.0,0.079150766
