precision,recall,threshold
0.1570796460176991,1.0,0.3331964267462523
0.15920993565763877,0.9990610328638497,0.3374711425816459
0.1618162425719945,0.9971830985915493,0.36481479880399165
0.16186556927297668,0.9971830985915493,0.3693399186640539
0.16293341515802393,0.9971830985915493,0.3738183784767603
0.16400062121447428,0.9915492957746479,0.37617116529774736
0.16465989053948396,0.9887323943661972,0.38068245793076344
0.16577202399747396,0.9859154929577465,0.3876960769650144
0.16781756865264172,0.9812206572769953,0.39225867584542257
0.17029638120189947,0.9765258215962441,0.3977156709837224
0.17038007863695936,0.9765258215962441,0.4014529600803528
0.17043592264831203,0.9765258215962441,0.4023187081448694
0.1705197573372684,0.9765258215962441,0.4060700887481888
0.1706596652445028,0.9765258215962441,0.41408146108060495
0.1710569641093184,0.9755868544600939,0.41874222044604237
0.17151354923992068,0.9746478873239437,0.42597474665380286
0.17361459902896367,0.9737089201877934,0.42605863809927025
0.17420010157440324,0.9661971830985916,0.43067097594608006
0.17624719489038496,0.9586854460093897,0.430755098229838
0.17732102421180979,0.955868544600939,0.4331340781821315
0.17912029676735558,0.952112676056338,0.4378490318866519
0.18050801657359034,0.9408450704225352,0.4401135979453477
0.18057307622995133,0.9408450704225352,0.44312575400911763
0.1806056236481615,0.9408450704225352,0.4434774532563676
0.18063818280151434,0.9408450704225352,0.44484490606080906
0.18076853689337904,0.9408450704225352,0.44732537976803566
0.18080115481775533,0.9408450704225352,0.45207161711405464
0.18083378451543042,0.9408450704225352,0.45319514766334557
0.1812590448625181,0.9408450704225352,0.4555585887991215
0.1813574660633484,0.9408450704225352,0.45795205909670617
0.1810923607330793,0.9370892018779343,0.45942480428510285
0.1810751907010534,0.936150234741784,0.459965407314815
0.18102508178844057,0.9352112676056338,0.4603194239269819
0.18090726908362179,0.9323943661971831,0.4604046541836595
0.1809402332361516,0.9323943661971831,0.4641915949078307
0.18088986141502553,0.9314553990610329,0.4652469937117154
0.18232558139534882,0.92018779342723,0.4700216685880293
0.183273004381787,0.9032863849765258,0.47243752868467975
0.18499025341130604,0.8910798122065727,0.47252303814891927
0.18591772151898733,0.8826291079812206,0.4772201428970693
0.18891842159067676,0.8676056338028169,0.4773057348236265
0.19021964359718194,0.8619718309859155,0.4830785067630231
0.19029850746268656,0.8619718309859155,0.4878692258299673
0.19020950010371293,0.8610328638497653,0.4898952289428482
0.19015985052937512,0.860093896713615,0.491603223304316
0.19023883696780894,0.860093896713615,0.49273665014184687
0.19031788905048827,0.860093896713615,0.49484909876217065
0.19171746899306286,0.856338028169014,0.49520534412141337
0.19162810265039967,0.8553990610328639,0.4975309620808529
0.19165964616680708,0.8544600938967136,0.4990138125099206
0.1918212478920742,0.8544600938967136,0.49909958149315303
0.19168787107718405,0.8488262910798122,0.49964371944480035
0.19244060475161986,0.8366197183098592,0.5
0.19144779683090948,0.828169014084507,0.5000406015400546
0.19169745707454902,0.828169014084507,0.502067597838873
0.19173014145810663,0.8272300469483568,0.502423871251943
0.1918554006968641,0.8272300469483568,0.503808540422169
0.1918047079337402,0.8262910798122066,0.5038943046216589
0.19177782637218457,0.8234741784037559,0.5048352536535179
0.19186173703784729,0.8234741784037559,0.506317937326155
0.19176882661996497,0.8225352112676056,0.5068619816146328
0.1920457042408262,0.8206572769953052,0.5072181915819641
0.1915034118423949,0.8169014084507042,0.5073039427823837
0.19158775600088088,0.8169014084507042,0.5111112468622775
0.1918412348401323,0.8169014084507042,0.5121713517311557
0.1964110127826942,0.7502347417840376,0.5122443333117841
0.19659595461272816,0.748356807511737,0.5169620481626983
